Timestamp,Vehicle Type,Vehicle ID,Location ID
2025-06-29 14:41:15,car,402,Basni Crossing
2025-06-29 14:41:16,car,412,Basni Crossing
2025-06-29 14:41:19,car,413,Basni Crossing
2025-06-29 14:41:19,car,393,Basni Crossing
2025-06-29 14:41:20,car,347,Basni Crossing
2025-06-29 14:41:24,truck,455,Basni Crossing
2025-06-29 14:41:26,car,444,Basni Crossing
2025-06-29 14:41:27,car,461,Basni Crossing
2025-06-29 14:41:29,car,457,Basni Crossing
2025-06-29 14:41:31,car,480,Basni Crossing
2025-06-29 14:41:33,car,481,Basni Crossing
2025-06-29 14:41:35,car,436,Basni Crossing
2025-06-29 14:41:36,car,458,Basni Crossing
2025-06-29 14:41:36,car,465,Basni Crossing
2025-06-29 14:41:39,car,468,Basni Crossing
2025-06-29 14:41:42,car,514,Basni Crossing
2025-06-29 14:41:44,car,507,Basni Crossing
2025-06-29 14:41:44,car,508,Basni Crossing
2025-06-29 14:41:45,car,510,Basni Crossing
2025-06-29 14:41:48,car,526,Basni Crossing
2025-06-29 14:41:48,car,527,Basni Crossing
2025-06-29 14:41:50,car,525,Basni Crossing
2025-06-29 14:41:51,car,523,Basni Crossing
2025-06-29 14:41:54,car,543,Basni Crossing
2025-06-29 14:41:55,car,504,Basni Crossing
2025-06-29 14:41:56,car,546,Basni Crossing
2025-06-29 14:41:58,car,569,Basni Crossing
2025-06-29 14:41:59,car,561,Basni Crossing
2025-06-29 14:42:00,car,562,Basni Crossing
2025-06-29 14:42:02,car,575,Basni Crossing
2025-06-29 14:42:03,car,571,Basni Crossing
2025-06-29 14:42:05,car,532,Basni Crossing
2025-06-29 14:42:07,car,547,Basni Crossing
2025-06-29 14:42:07,car,576,Basni Crossing
2025-06-29 14:42:08,car,586,Basni Crossing
2025-06-29 14:42:10,car,585,Basni Crossing
2025-06-29 14:42:11,car,593,Basni Crossing
2025-06-29 14:42:15,car,583,Basni Crossing
2025-06-29 14:42:15,truck,564,Basni Crossing
2025-06-29 14:42:16,truck,538,Basni Crossing
2025-06-29 14:42:22,car,631,Basni Crossing
2025-06-29 14:42:34,car,632,Basni Crossing
2025-06-29 14:42:35,car,633,Basni Crossing
2025-06-29 14:42:36,car,682,Basni Crossing
2025-06-29 14:42:36,car,687,Basni Crossing
2025-06-29 14:42:39,car,708,Basni Crossing
2025-06-29 14:42:40,car,686,Basni Crossing
2025-06-29 14:42:41,car,654,Basni Crossing
2025-06-29 14:42:46,car,709,Basni Crossing
2025-06-29 14:42:46,car,689,Basni Crossing
2025-06-29 14:42:52,car,727,Basni Crossing
2025-06-29 14:42:54,car,766,Basni Crossing
2025-06-29 14:42:55,car,768,Basni Crossing
2025-06-29 14:42:56,car,757,Basni Crossing
2025-06-29 14:42:58,car,767,Basni Crossing
2025-06-29 14:43:01,car,788,Basni Crossing
2025-06-29 14:43:03,car,793,Basni Crossing
2025-06-29 14:43:05,car,794,Basni Crossing
2025-06-29 14:43:06,truck,805,Basni Crossing
2025-06-29 14:43:08,car,817,Basni Crossing
2025-06-29 14:43:12,car,813,Basni Crossing
2025-06-29 14:43:18,car,860,Basni Crossing
2025-06-29 14:43:21,car,856,Basni Crossing
2025-06-29 14:43:23,car,857,Basni Crossing
2025-06-29 14:43:35,car,903,Basni Crossing
2025-06-29 14:43:38,car,924,Basni Crossing
2025-06-29 14:43:42,car,938,Basni Crossing
2025-06-29 14:43:45,car,933,Basni Crossing
2025-06-29 14:43:47,car,957,Basni Crossing
2025-06-29 14:43:49,truck,925,Basni Crossing
2025-06-29 14:43:50,car,963,Basni Crossing
2025-06-29 14:43:50,car,964,Basni Crossing
2025-06-29 14:43:54,truck,979,Basni Crossing
2025-06-29 14:43:59,truck,973,Basni Crossing
2025-06-29 14:44:02,truck,995,Basni Crossing
2025-06-29 14:44:03,car,996,Basni Crossing
2025-06-29 14:44:03,car,1005,Basni Crossing
2025-06-29 14:44:06,car,1010,Basni Crossing
2025-06-29 14:44:06,car,1011,Basni Crossing
2025-06-29 14:44:11,car,1020,Basni Crossing
2025-06-29 14:44:14,car,1022,Basni Crossing
2025-06-29 14:44:19,car,1034,Basni Crossing
2025-06-29 14:44:20,car,1042,Basni Crossing
2025-06-29 14:44:22,car,1058,Basni Crossing
2025-06-29 14:44:22,car,1060,Basni Crossing
